Week,crypto
6/2/2019,5
6/9/2019,5
6/16/2019,8
6/23/2019,8
6/30/2019,7
7/7/2019,6
7/14/2019,5
7/21/2019,4
7/28/2019,4
8/4/2019,4
8/11/2019,4
8/18/2019,4
8/25/2019,4
9/1/2019,4
9/8/2019,4
9/15/2019,4
9/22/2019,5
9/29/2019,5
10/6/2019,4
10/13/2019,4
10/20/2019,4
10/27/2019,4
11/3/2019,4
11/10/2019,4
11/17/2019,4
11/24/2019,4
12/1/2019,3
12/8/2019,3
12/15/2019,4
12/22/2019,3
12/29/2019,4
1/5/2020,4
1/12/2020,5
1/19/2020,4
1/26/2020,4
2/2/2020,5
2/9/2020,8
2/16/2020,6
2/23/2020,5
3/1/2020,5
3/8/2020,6
3/15/2020,5
3/22/2020,4
3/29/2020,4
4/5/2020,6
4/12/2020,5
4/19/2020,5
4/26/2020,6
5/3/2020,6
5/10/2020,7
5/17/2020,6
5/24/2020,6
5/31/2020,6
6/7/2020,6
6/14/2020,6
6/21/2020,6
6/28/2020,5
7/5/2020,6
7/12/2020,7
7/19/2020,7
7/26/2020,9
8/2/2020,9
8/9/2020,9
8/16/2020,10
8/23/2020,8
8/30/2020,9
9/6/2020,8
9/13/2020,7
9/20/2020,6
9/27/2020,6
10/4/2020,5
10/11/2020,5
10/18/2020,6
10/25/2020,6
11/1/2020,6
11/8/2020,7
11/15/2020,8
11/22/2020,11
11/29/2020,9
12/6/2020,8
12/13/2020,10
12/20/2020,11
12/27/2020,14
1/3/2021,23
1/10/2021,21
1/17/2021,18
1/24/2021,25
1/31/2021,32
2/7/2021,42
2/14/2021,39
2/21/2021,37
2/28/2021,27
3/7/2021,32
3/14/2021,36
3/21/2021,33
3/28/2021,36
4/4/2021,41
4/11/2021,60
4/18/2021,77
4/25/2021,56
5/2/2021,83
5/9/2021,100
5/16/2021,90
5/23/2021,61
5/30/2021,45
6/6/2021,38
6/13/2021,33
6/20/2021,35
6/27/2021,27
7/4/2021,26
7/11/2021,24
7/18/2021,26
7/25/2021,29
8/1/2021,28
8/8/2021,37
8/15/2021,37
8/22/2021,39
8/29/2021,39
9/5/2021,46
9/12/2021,37
9/19/2021,38
9/26/2021,32
10/3/2021,41
10/10/2021,41
10/17/2021,46
10/24/2021,70
10/31/2021,82
11/7/2021,75
11/14/2021,73
11/21/2021,76
11/28/2021,72
12/5/2021,59
12/12/2021,54
12/19/2021,51
12/26/2021,56
1/2/2022,62
1/9/2022,57
1/16/2022,62
1/23/2022,54
1/30/2022,48
2/6/2022,48
2/13/2022,42
2/20/2022,39
2/27/2022,36
3/6/2022,38
3/13/2022,32
3/20/2022,34
3/27/2022,41
4/3/2022,35
4/10/2022,33
4/17/2022,31
4/24/2022,31
5/1/2022,30
5/8/2022,66
5/15/2022,39
5/22/2022,31
5/29/2022,28
6/5/2022,26
