Week,stocks
6/2/2019,15
6/9/2019,16
6/16/2019,16
6/23/2019,15
6/30/2019,14
7/7/2019,16
7/14/2019,15
7/21/2019,16
7/28/2019,16
8/4/2019,18
8/11/2019,18
8/18/2019,16
8/25/2019,15
9/1/2019,15
9/8/2019,17
9/15/2019,17
9/22/2019,16
9/29/2019,15
10/6/2019,15
10/13/2019,15
10/20/2019,16
10/27/2019,16
11/3/2019,18
11/10/2019,17
11/17/2019,17
11/24/2019,15
12/1/2019,17
12/8/2019,16
12/15/2019,16
12/22/2019,16
12/29/2019,20
1/5/2020,22
1/12/2020,22
1/19/2020,19
1/26/2020,21
2/2/2020,24
2/9/2020,23
2/16/2020,22
2/23/2020,36
3/1/2020,32
3/8/2020,62
3/15/2020,68
3/22/2020,60
3/29/2020,44
4/5/2020,44
4/12/2020,46
4/19/2020,48
4/26/2020,43
5/3/2020,38
5/10/2020,36
5/17/2020,37
5/24/2020,33
5/31/2020,40
6/7/2020,48
6/14/2020,36
6/21/2020,33
6/28/2020,29
7/5/2020,34
7/12/2020,33
7/19/2020,33
7/26/2020,32
8/2/2020,33
8/9/2020,32
8/16/2020,31
8/23/2020,33
8/30/2020,38
9/6/2020,29
9/13/2020,28
9/20/2020,26
9/27/2020,24
10/4/2020,26
10/11/2020,24
10/18/2020,23
10/25/2020,23
11/1/2020,24
11/8/2020,32
11/15/2020,31
11/22/2020,32
11/29/2020,35
12/6/2020,36
12/13/2020,33
12/20/2020,31
12/27/2020,36
1/3/2021,48
1/10/2021,53
1/17/2021,46
1/24/2021,100
1/31/2021,79
2/7/2021,70
2/14/2021,52
2/21/2021,51
2/28/2021,43
3/7/2021,42
3/14/2021,37
3/21/2021,34
3/28/2021,31
4/4/2021,31
4/11/2021,37
4/18/2021,37
4/25/2021,34
5/2/2021,39
5/9/2021,39
5/16/2021,33
5/23/2021,34
5/30/2021,37
6/6/2021,36
6/13/2021,32
6/20/2021,29
6/27/2021,29
7/4/2021,27
7/11/2021,27
7/18/2021,27
7/25/2021,26
8/1/2021,25
8/8/2021,26
8/15/2021,24
8/22/2021,25
8/29/2021,24
9/5/2021,22
9/12/2021,24
9/19/2021,25
9/26/2021,25
10/3/2021,28
10/10/2021,26
10/17/2021,28
10/24/2021,30
10/31/2021,30
11/7/2021,31
11/14/2021,29
11/21/2021,27
11/28/2021,29
12/5/2021,26
12/12/2021,26
12/19/2021,24
12/26/2021,28
1/2/2022,32
1/9/2022,32
1/16/2022,31
1/23/2022,33
1/30/2022,31
2/6/2022,27
2/13/2022,26
2/20/2022,29
2/27/2022,27
3/6/2022,29
3/13/2022,24
3/20/2022,26
3/27/2022,26
4/3/2022,27
4/10/2022,25
4/17/2022,25
4/24/2022,26
5/1/2022,25
5/8/2022,25
5/15/2022,24
5/22/2022,23
5/29/2022,20
6/5/2022,22
